abuk	a b u ʔ
abul	a b u l
abulhayat	a b u l h a j a t
abun	a b u n
abur	a b u r
abus	a b u s
acah	a tʃ a h
acak	a tʃ a ʔ
acan	a tʃ a n
acang	a tʃ a ŋ
acap	a tʃ a p
acar	a tʃ a r
acara	a tʃ a r a
acaram	a tʃ a r a m
acat	a tʃ a t
acatan	a tʃ a t a n
acau	a tʃ a u
acawi	a tʃ a w i
acerang	a tʃ ə r a ŋ
aci	a tʃ i
acian	a tʃ i a n
acik	a tʃ i ʔ
aco	a tʃ o
acu	a tʃ u
acuan	a tʃ u a n
acuh	a tʃ u h
acuhan	a tʃ u h a n
acum	a tʃ u m
acuman	a tʃ u m a n
acung	a tʃ u ŋ
acungkan	a tʃ u ŋ k a n
ada	a d a
adaan	a d a ʔ a n
adab	a d a b
adad	a d a d
adagio	a d a ɡ i o
adagium	a d a ɡ i u m
adakah	a d a k a h
adakala	a d a k a l a
adakan	a d a k a n
adalah	a d a l a h
adalat	a d a l a t
adam	a d a m
adang	a d a ŋ
adanya	a d a ɲ a
adap	a d a p
adaptasi	a d a p t a s i
adaptif	a d a p t i f
adaptor	a d a p t o r
adapun	a d a p u n
adar	a d a r
adas	a d a s
adat	a d a t
adati	a d a t i
adegan	a d ə ɡ a n
adeh	a d e h
adekuat	a d ə k u a t
adem	a d ə m
adempauze	a d ə m p a u z ə
adhesi	a d h e s i
adhesif	a d h e s i f
adib	a d i b
adibintang	a d i b i n t a ŋ
adibusana	a d i b u s a n a
adicita	a d i tʃ i t a
adidaya	a d i d a j a
adigang	a d i ɡ a ŋ
adiguna	a d i ɡ u n a
adigung	a d i ɡ u ŋ
adik	a d i ʔ
adika	a d i k a
adikara	a d i k a r a
adikarya	a d i k a r j a
adikku	a d i ʔ k u
adikmu	a d i ʔ m u
adiknya	a d i ʔ ɲ a
adikodrati	a d i k o d r a t i
adikong	a d i k o ŋ
adiksi	a d i ʔ s i
adiktif	a d i ʔ t i f
adikuasa	a d i k u a s a
adil	a d i l
adilan	a d i l a n
adiluhung	a d i l u h u ŋ
adimarga	a d i m a r ɡ a
adinda	a d i n d a
ading	a d i ŋ
adipati	a d i p a t i
adipenghantar	a d i p ə ŋ h a n t a r
adipositas	a d i p o s i t a s
adipura	a d i p u r a
adiraja	a d i r a dʒ a
adiratna	a d i r a t n a
adisional	a d i s i o n a l
adisiswa	a d i s i s w a
aditif	a d i t i f
aditokoh	a d i t o k o h
adiwangsa	a d i w a ŋ s a
adiwarna	a d i w a r n a
adiwidia	a d i w i d i a
adjektiva	a d dʒ e ʔ t i v a
administrasi	a d m i n i s t r a s i
administratif	a d m i n i s t r a t i f
administrator	a d m i n i s t r a t o r
admiral	a d m i r a l
admisi	a d m i s i
adon	a d o n
adonan	a d o n a n
adopsi	a d o p s i
adoptif	a d o p t i f
adrenal	a d r e n a l
adrenalin	a d r e n a l i n
adres	a d r e s
adsorben	a d s o r b e n
adsorpsi	a d s o r p s i
adu	a d u
aduan	a d u a n
aduh	a d u h
aduhai	a d u h a i
aduk	a d u ʔ
adukan	a d u k a n
adun	a d u n
adunan	a d u n a n
adverbial	a d v e r b i a l
advertensi	a d v ə r t e n s i
advis	a d v i s
advokasi	a d v o k a s i
advokat	a d v o k a t
aerasi	a e r a s i
aerob	a e r o b
aerobatik	a e r o b a t i ʔ
aerobik	a e r o b i ʔ
aerodinamika	a e r o d i n a m i k a
aerogram	a e r o ɡ r a m
aerologi	a e r o l o ɡ i
aerometer	a e r o m e t ə r
aeromovel	a e r o m o v e l
aeronautik	a e r o n a u t i ʔ
aeronautika	a e r o n a u t i k a
aeroskop	a e r o s k o p
aerosol	a e r o s o l
aerostatika	a e r o s t a t i k a
afal	a f a l
afdal	a f d a l
afdeling	a f d e l i ŋ
afdruk	a f d r u ʔ
afek	a f e ʔ
afeksi	a f e ʔ s i
afektif	a f e ʔ t i f
afiat	a f i a t
afiks	a f i ʔ s
afiksasi	a f i ʔ s a s i
afiliasi	a f i l i a s i
afinitas	a f i n i t a s
afirmasi	a f i r m a s i
afirmatif	a f i r m a t i f
afrikat	a f r i k a t
afrit	a f r i t
afrodisiak	a f r o d i s i a ʔ
afsun	a f s u n
afwah	a f w a h
aga	a ɡ a
agah	a ɡ a h
agak	a ɡ a ʔ
agaknya	a ɡ a ʔ ɲ a
agal	a ɡ a l
agam	a ɡ a m
agama	a ɡ a m a
agamaku	a ɡ a m a k u
agamanya	a ɡ a m a ɲ a
agamawan	a ɡ a m a w a n
agamawi	a ɡ a m a w i
agami	a ɡ a m i
agan	a ɡ a n
agar	a ɡ a r
agas	a ɡ a s
agen	a ɡ e n
agenda	a ɡ e n d a
agensi	a ɡ e n s i
agih	a ɡ i h
agihan	a ɡ i h a n
agio	a ɡ i o
agitasi	a ɡ i t a s i
agitator	a ɡ i t a t o r
aglutinasi	a ɡ l u t i n a s i
agnostik	a ɡ n o s t i ʔ
agnostisisme	a ɡ n o s t i s i s m ə
ago-go	a ɡ o - ɡ o
agraria	a ɡ r a r i a
agraris	a ɡ r a r i s
agregasi	a ɡ r e ɡ a s i
agregat	a ɡ r e ɡ a t
agresi	a ɡ r e s i
agresif	a ɡ r e s i f
agresivitas	a ɡ r e s i v i t a s
agresor	a ɡ r e s o r
agroindustri	a ɡ r o i n d u s t r i
agronomi	a ɡ r o n o m i
aguk	a ɡ u ʔ
agul	a ɡ u l
agun	a ɡ u n
agunan	a ɡ u n a n
agung	a ɡ u ŋ
agus	a ɡ u s
agut	a ɡ u t
ah	a h
ahad	a h a d
ahadiat	a h a d i a t
ahimsa	a h i m s a
ahkam	a h k a m
ahli	a h l i
ahlulbait	a h l u l b a i t
ahlulkitab	a h l u l k i t a b
ahlulkubur	a h l u l k u b u r
ahmad	a h m a d
ahmak	a h m a ʔ
ahmar	a h m a r
aho	a h o
ahwal	a h w a l
ai	a i
aib	a i b
aidilfitri	a i d i l f i t r i
ain	a i n
ainulbanat	a i n u l b a n a t
air	a i r
airi	a i r i
airmata	a i r m a t a
airnya	a i r ɲ a
ais	a i s
aja	a dʒ a
ajab	a dʒ a b
ajaib	a dʒ a i b
ajak	a dʒ a ʔ
ajakan	a dʒ a k a n
ajal	a dʒ a l
ajang	a dʒ a ŋ
ajar	a dʒ a r
ajaran	a dʒ a r a n
ajaranmu	a dʒ a r a n m u
ajari	a dʒ a r i
ajek	a dʒ ə ʔ
ajengan	a dʒ ə ŋ a n
aji	a dʒ i
ajir	a dʒ i r
ajnabi	a dʒ n a b i
ajnas	a dʒ n a s
ajojing	a dʒ o dʒ i ŋ
aju	a dʒ u
ajuan	a dʒ u a n
ajudan	a dʒ u d a n
ajujah	a dʒ u dʒ a h
ajuk	a dʒ u ʔ
ajukan	a dʒ u k a n
ajun	a dʒ u n
ajur	a dʒ u r
ak-ak	a k - a ʔ
akad	a k a d
akademi	a k a d e m i
akademik	a k a d e m i ʔ
akademikus	a k a d e m i k u s
akademis	a k a d e m i s
akademisi	a k a d e m i s i
akaid	a k a i d
akak	a k a ʔ
akal	a k a l
akalnya	a k a l ɲ a
akan	a k a n
akanan	a k a n a n
akang	a k a ŋ
akar	a k a r
akas	a k a s
akasia	a k a s i a
akaun	a k a u n
akbar	a ʔ b a r
akhbar	a x b a r
akhir	a x i r
akhiran	a x i r a n
akhirat	a x i r a t
akhirnya	a x i r ɲ a
akhirulkalam	a x i r u l k a l a m
akhlak	a x l a ʔ
akhtaj	a x t a dʒ
akhwat	a x w a t
aki	a k i
akibat	a k i b a t
akibatnya	a k i b a t ɲ a
akidah	a k i d a h
akik	a k i ʔ
akikah	a k i k a h
akil	a k i l
aklamasi	a ʔ l a m a s i
akliah	a ʔ l i a h
aklimatisasi	a ʔ l i m a t i s a s i
akmal	a ʔ m a l
akomodasi	a k o m o d a s i
akomodatif	a k o m o d a t i f
akor	a k o r
akordeon	a k o r d e o n
akrab	a ʔ r a b
akrabnya	a ʔ r a b ɲ a
akreditasi	a ʔ r e d i t a s i
akrilik	a ʔ r i l i ʔ
akrobat	a ʔ r o b a t
akrobatik	a ʔ r o b a t i ʔ
akronim	a ʔ r o n i m
aksa	a ʔ s a
aksara	a ʔ s a r a
aksarawan	a ʔ s a r a w a n
aksarawati	a ʔ s a r a w a t i
akselerasi	a ʔ s e l ə r a s i
akselerator	a ʔ s e l ə r a t o r
aksen	a ʔ s e n
aksentuasi	a ʔ s e n t u a s i
aksep	a ʔ s e p
akseptabel	a ʔ s e p t a b ə l
akseptasi	a ʔ s e p t a s i
akseptor	a ʔ s e p t o r
akses	a ʔ s e s
aksesibilitas	a ʔ s e s i b i l i t a s
aksi	a ʔ s i
aksidental	a ʔ s i d e n t a l
aksioma	a ʔ s i o m a
aksiomatis	a ʔ s i o m a t i s
aksis	a ʔ s i s
akson	a ʔ s o n
akta	a ʔ t a
aktentas	a ʔ t ə n t a s
aktif	a ʔ t i f
aktiva	a ʔ t i v a
aktivis	a ʔ t i v i s
aktivitas	a ʔ t i v i t a s
aktor	a ʔ t o r
aktris	a ʔ t r i s
aktual	a ʔ t u a l
aktualisasi	a ʔ t u a l i s a s i
aktuaria	a ʔ t u a r i a
aktuaris	a ʔ t u a r i s
aku	a k u
akuades	a k u a d e s
akuaduk	a k u a d u ʔ
akuakultur	a k u a k u l t u r
akuan	a k u a n
akuarel	a k u a r e l
akuarium	a k u a r i u m
akui	a k u i
akuifer	a k u i f e r
akuisisi	a k u i s i s i
akuk	a k u ʔ
akulah	a k u l a h
akulturasi	a k u l t u r a s i
akumulasi	a k u m u l a s i
akumulatif	a k u m u l a t i f
akumulator	a k u m u l a t o r
akun	a k u n
akuntan	a k u n t a n
akuntansi	a k u n t a n s i
akupunktur	a k u p u n ʔ t u r
akupunkturis	a k u p u n ʔ t u r i s
akur	a k u r
akurasi	a k u r a s i
akurat	a k u r a t
akusatif	a k u s a t i f
akustik	a k u s t i ʔ
akustika	a k u s t i k a
akut	a k u t
akwal	a ʔ w a l
al	a l
al-ur'an	a l - u r ʔ a n
ala	a l a
alabangka	a l a b a ŋ k a
alabio	a l a b i o
alaf	a l a f
alah	a l a h
alahan	a l a h a n
alai	a l a i
alaihi	a l a i h i
alaika	a l a i k a
alaikum	a l a i k u m
alak	a l a ʔ
alam	a l a m
alamak	a l a m a ʔ
alamanda	a l a m a n d a
alamas	a l a m a s
alamat	a l a m a t
alamatulhayat	a l a m a t u l h a j a t
alami	a l a m i
alamiah	a l a m i a h
alamin	a l a m i n
alamnya	a l a m ɲ a
alan	a l a n
alang	a l a ŋ
alangan	a l a ŋ a n
alangkah	a l a ŋ k a h
alap	a l a p
alarm	a l a r m
alas	a l a s
alasan	a l a s a n
alat	a l a t
alau	a l a u
albas	a l b a s
albino	a l b i n o
album	a l b u m
albumen	a l b u m e n
alegori	a l e ɡ o r i
alegoris	a l e ɡ o r i s
alem	a l ə m
aleman	a l ə m a n
alergen	a l e r ɡ e n
alergi	a l e r ɡ i
alergis	a l e r ɡ i s
alf	a l f
alfa	a l f a
alfabet	a l f a b e t
alfabetis	a l f a b e t i s
alfu	a l f u
alga	a l ɡ a
algojo	a l ɡ o dʒ o
algoritma	a l ɡ o r i t m a
algoritme	a l ɡ o r i t m ə
alhamdulillah	a l h a m d u l i l l a h
alhasil	a l h a s i l
ali	a l i
aliah	a l i a h
aliansi	a l i a n s i
alias	a l i a s
alibi	a l i b i
alienasi	a l i e n a s i
alif	a l i f
alif-ba-ta	a l i f - b a - t a
alifbata	a l i f b a t a
alih	a l i h
alihan	a l i h a n
alik	a l i ʔ
alim	a l i m
alimbubu	a l i m b u b u
alimentasi	a l i m e n t a s i
alimiah	a l i m i a h
alimiat	a l i m i a t
alin	a l i n
alinea	a l i n e a
aling	a l i ŋ
alingan	a l i ŋ a n
alip	a l i p
alir	a l i r
aliran	a l i r a n
alis	a l i s
alit	a l i t
aliterasi	a l i t ə r a s i
aljabar	a l dʒ a b a r
alkah	a l k a h
alkali	a l k a l i
alkaloid	a l k a l o i d
alkamar	a l k a m a r
alkari	a l k a r i
alkasyaf	a l k a ʃ a f
alkausar	a l k a u s a r
alkena	a l k e n a
alkisah	a l k i s a h
alkohol	a l k o h o l
alkoholisme	a l k o h o l i s m ə
alku	a l k u
allah	a l l a h
almalun	a l m a l u n
almamater	a l m a m a t e r
almanak	a l m a n a ʔ
almarhum	a l m a r h u m
almarhumah	a l m a r h u m a h
almari	a l m a r i
almuazam	a l m u a z a m
almukhlis	a l m u x l i s
alofon	a l o f o n
alokasi	a l o k a s i
alomorf	a l o m o r f
alon	a l o n
alot	a l o t
alpa	a l p a
alpaka	a l p a k a
alperes	a l p e r e s
alpukah	a l p u k a h
altar	a l t a r
alternasi	a l t ə r n a s i
alternatif	a l t e r n a t i f
alternator	a l t ə r n a t o r
altimeter	a l t i m e t ə r
alto	a l t o
altruis	a l t r u i s
altruisme	a l t r u i s m ə
altruistis	a l t r u i s t i s
alu	a l u
aluan	a l u a n
alum	a l u m
aluminium	a l u m i n i u m
alumni	a l u m n i
alumnus	a l u m n u s
alun	a l u n
alunan	a l u n a n
alung	a l u ŋ
alup	a l u p
alur	a l u r
aluran	a l u r a n
alurnya	a l u r ɲ a
aluvial	a l u v i a l
aluvium	a l u v i u m
alveolus	a l v e o l u s
alwah	a l w a h
alwasi	a l w a s i
am	a m
ama	a m a
amabakdu	a m a b a ʔ d u
amah	a m a h
amal	a m a l
amalan	a m a l a n
amalannya	a m a l a n ɲ a
amalgam	a m a l ɡ a m
amalgamasi	a m a l ɡ a m a s i
amali	a m a l i
amaliah	a m a l i a h
aman	a m a n
amanah	a m a n a h
amanat	a m a n a t
amandel	a m a n d ə l
amang	a m a ŋ
amantu	a m a n t u
amar	a m a r
amarah	a m a r a h
amarahnya	a m a r a h ɲ a
amaran	a m a r a n
amat	a m a t
amatan	a m a t a n
amatir	a m a t i r
amatirisme	a m a t i r i s m ə
amatlah	a m a t l a h
amatur	a m a t u r
ambah	a m b a h
ambai	a m b a i
ambaian	a m b a i a n
ambak	a m b a ʔ
ambal	a m b a l
ambalan	a m b a l a n
ambang	a m b a ŋ
ambar	a m b a r
ambarau	a m b a r a u
ambasade	a m b a s a d ə
ambasador	a m b a s a d o r
ambau	a m b a u
ambeien	a m b e i ə n
ambek	a m b ə ʔ
ambekan	a m b ə k a n
ambet	a m b ə t
ambigu	a m b i ɡ u
ambiguitas	a m b i ɡ u i t a s
ambil	a m b i l
ambilan	a m b i l a n
ambilkan	a m b i l k a n
ambin	a m b i n
ambinan	a m b i n a n
ambing	a m b i ŋ
ambingkan	a m b i ŋ k a n
ambisi	a m b i s i
ambisius	a m b i s i u s
ambivalen	a m b i v a l e n
ambivalensi	a m b i v a l e n s i
amblas	a m b l a s
amblek	a m b l ə ʔ
ambles	a m b l ə s
amboi	a m b o i
ambreng	a m b r ə ŋ
ambrol	a m b r o l
ambruk	a m b r u ʔ
ambu	a m b u
ambuh	a m b u h
ambul	a m b u l
ambulans	a m b u l a n s
ambung	a m b u ŋ
ambur	a m b u r
amburadul	a m b u r a d u l
ambyar	a m b j a r
ameba	a m e b a
amebiasis	a m e b i a s i s
ameliorasi	a m e l i o r a s i
amen	a m e n
amendemen	a m e n d ə m e n
amerta	a m ə r t a
ametis	a m ə t i s
amfetamin	a m f e t a m i n
amfibi	a m f i b i
amfiteater	a m f i t e a t ə r
ami	a m i
amikal	a m i k a l
amil	a m i l
amilase	a m i l a s ə
amin	a m i n
amina	a m i n a
amino	a m i n o
amir	a m i r
amirulbahar	a m i r u l b a h a r
amirulhaj	a m i r u l h a dʒ
amirulmukminin	a m i r u l m u ʔ m i n i n
amis	a m i s
amit	a m i t
amko	a m k o
amnesia	a m n e s i a
amnesti	a m n e s t i
amoi	a m o i
amonia	a m o n i a
amonium	a m o n i u m
amoral	a m o r a l
amorf	a m o r f
amortisasi	a m o r t i s a s i
ampai	a m p a i
ampaian	a m p a i a n
ampang	a m p a ŋ
ampas	a m p a s
ampat	a m p a t
ampe	a m p e
ampean	a m p e a n
ampek	a m p ə ʔ
ampel	a m p e l
ampela	a m p ə l a
ampelas	a m p ə l a s
ampere	a m p e r ə
amplifikasi	a m p l i f i k a s i
amplitudo	a m p l i t u d o
amplop	a m p l o p
ampo	a m p o
amprok	a m p r o ʔ
ampu	a m p u
ampuh	a m p u h
ampuk	a m p u ʔ
ampul	a m p u l
ampun	a m p u n
ampunan	a m p u n a n
amput	a m p u t
amputan	a m p u t a n
amputasi	a m p u t a s i
amra	a m r a
amri	a m r i
amril	a m r i l
amsal	a m s a l
amtenar	a m t ə n a r
amuh	a m u h
amuk	a m u ʔ
amukan	a m u k a n
amulet	a m u l e t
amung	a m u ŋ
amunisi	a m u n i s i
ana	a n a
anabolisme	a n a b o l i s m ə
anaerob	a n a e r o b
anaerobik	a n a e r o b i ʔ
anafilaksis	a n a f i l a ʔ s i s
anafora	a n a f o r a
anafrodisiak	a n a f r o d i s i a ʔ
anai	a n a i
anak	a n a ʔ
anakan	a n a k a n
anakku	a n a ʔ k u
anakmu	a n a ʔ m u
anaknya	a n a ʔ ɲ a
anakronisme	a n a ʔ r o n i s m ə
anakronistis	a n a ʔ r o n i s t i s
anal	a n a l
analekta	a n a l e ʔ t a
analgesik	a n a l ɡ e s i ʔ
analis	a n a l i s
analisis	a n a l i s i s
analitis	a n a l i t i s
analog	a n a l o ɡ
analogi	a n a l o ɡ i
ananda	a n a n d a
anang	a n a ŋ
anani	a n a n i
anarki	a n a r k i
anarkis	a n a r k i s
anarkisme	a n a r k i s m ə
anarkistis	a n a r k i s t i s
anas	a n a s
anasional	a n a s i o n a l
anasir	a n a s i r
anatomi	a n a t o m i
anatomis	a n a t o m i s
anbia	a n b i a
anca	a n tʃ a
ancai	a n tʃ a i
ancak	a n tʃ a ʔ
ancala	a n tʃ a l a
ancam	a n tʃ a m
ancaman	a n tʃ a m a n
ancang	a n tʃ a ŋ
ancangan	a n tʃ a ŋ a n
ancar	a n tʃ a r
ancoa	a n tʃ o a
ancol	a n tʃ o l
ancuk	a n tʃ u ʔ
anda	a n d a
andai	a n d a i
andaian	a n d a i a n
andainya	a n d a i ɲ a
andak	a n d a ʔ
andaka	a n d a k a
andal	a n d a l
andalan	a n d a l a n
andalas	a n d a l a s
andalkan	a n d a l k a n
andam	a n d a m
andaman	a n d a m a n
andan	a n d a n
andang	a n d a ŋ
andapita	a n d a p i t a
andar	a n d a r
andeng	a n d ə ŋ
anderak	a n d ə r a ʔ
andesit	a n d e s i t
andewi	a n d e w i
andika	a n d i k a
andiko	a n d i k o
andil	a n d i l
andilau	a n d i l a u
andok	a n d o ʔ
andong	a n d o ŋ
andrawina	a n d r a w i n a
androgen	a n d r o ɡ e n
andrologi	a n d r o l o ɡ i
anduh	a n d u h
anduhan	a n d u h a n
andun	a n d u n
andung	a n d u ŋ
andur	a n d u r
aneh	a n e h
anehnya	a n e h ɲ a
aneka	a n e k a
aneksasi	a n e ʔ s a s i
anemer	a n e m ə r
anestesi	a n e s t e s i
anestesiolog	a n e s t e s i o l o ɡ
anfas	a n f a s
angah	a ŋ a h
angan	a ŋ a n
angankan	a ŋ a n k a n
angannya	a ŋ a n ɲ a
angga	a ŋ ɡ a
anggai	a ŋ ɡ a i
anggak	a ŋ ɡ a ʔ
anggal	a ŋ ɡ a l
anggan	a ŋ ɡ a n
anggap	a ŋ ɡ a p
anggapan	a ŋ ɡ a p a n
anggar	a ŋ ɡ a r
anggara	a ŋ ɡ a r a
anggaran	a ŋ ɡ a r a n
anggarannya	a ŋ ɡ a r a n ɲ a
anggerka	a ŋ ɡ ə r k a
anggit	a ŋ ɡ i t
anggitan	a ŋ ɡ i t a n
angglap	a ŋ ɡ l a p
anggota	a ŋ ɡ o t a
anggrek	a ŋ ɡ r e ʔ
anggrekwan	a ŋ ɡ r e ʔ w a n
angguh	a ŋ ɡ u h
angguk	a ŋ ɡ u ʔ
anggukan	a ŋ ɡ u k a n
anggul	a ŋ ɡ u l
anggun	a ŋ ɡ u n
anggung	a ŋ ɡ u ŋ
anggur	a ŋ ɡ u r
angguran	a ŋ ɡ u r a n
anggut	a ŋ ɡ u t
anghun	a ŋ h u n
angin	a ŋ i n
angina	a ŋ i n a
angit	a ŋ i t
angka	a ŋ k a
angkak	a ŋ k a ʔ
angkal	a ŋ k a l
angkanya	a ŋ k a ɲ a
angkara	a ŋ k a r a
angkasa	a ŋ k a s a
angkasawan	a ŋ k a s a w a n
angkasawati	a ŋ k a s a w a t i
angkat	a ŋ k a t
angkatan	a ŋ k a t a n
angkatnya	a ŋ k a t ɲ a
angkel	a ŋ k e l
angker	a ŋ k ə r
angket	a ŋ k e t
angkin	a ŋ k i n
angkit	a ŋ k i t
angklung	a ŋ ʔ l u ŋ
angkong	a ŋ k o ŋ
angkring	a ŋ ʔ r i ŋ
angkringan	a ŋ ʔ r i ŋ a n
angku	a ŋ k u
angkuh	a ŋ k u h
angkuk	a ŋ k u ʔ
angkup	a ŋ k u p
angkur	a ŋ k u r
angkut	a ŋ k u t
angkutan	a ŋ k u t a n
anglap	a ŋ l a p
angler	a ŋ l ə r
anglo	a ŋ l o
anglong	a ŋ l o ŋ
anglung	a ŋ l u ŋ
angon	a ŋ o n
angonan	a ŋ o n a n
angop	a ŋ o p
angot	a ŋ o t
angpau	a ŋ p a u
angsa	a ŋ s a
angsana	a ŋ s a n a
angsoka	a ŋ s o k a
angsu	a ŋ s u
angsur	a ŋ s u r
angsuran	a ŋ s u r a n
angur	a ŋ u r
angut	a ŋ u t
ani	a n i
aniaya	a n i a j a
anih	a n i h
animasi	a n i m a s i
animis	a n i m i s
animisme	a n i m i s m ə
animo	a n i m o
anion	a n i o n
anis	a n i s
anita	a n i t a
anja	a n dʒ a
anjak	a n dʒ a ʔ
anjakan	a n dʒ a k a n
anjal	a n dʒ a l
anjang	a n dʒ a ŋ
anjangkarya	a n dʒ a ŋ k a r j a
anjangsana	a n dʒ a ŋ s a n a
anjar	a n dʒ a r
anjiman	a n dʒ i m a n
anjing	a n dʒ i ŋ
anjir	a n dʒ i r
anjlok	a n dʒ l o ʔ
anju	a n dʒ u
anjung	a n dʒ u ŋ
anjur	a n dʒ u r
anjuran	a n dʒ u r a n
anoa	a n o a
anom	a n o m
anomali	a n o m a l i
anomi	a n o m i
anonim	a n o n i m
anonimitas	a n o n i m i t a s
anoreksia	a n o r e ʔ s i a
anorganik	a n o r ɡ a n i ʔ
anotasi	a n o t a s i
ansa	a n s a
ansambel	a n s a m b ə l
ansar	a n s a r
ansari	a n s a r i
ansur	a n s u r
anta	a n t a
antagonis	a n t a ɡ o n i s
antagonisme	a n t a ɡ o n i s m ə
antagonistis	a n t a ɡ o n i s t i s
antah	a n t a h
antakesuma	a n t a k ə s u m a
antalas	a n t a l a s
antamir	a n t a m i r
antan	a n t a n
antap	a n t a p
antar	a n t a r
antara	a n t a r a
antarabangsa	a n t a r a b a ŋ s a
antaran	a n t a r a n
antaranya	a n t a r a ɲ a
antarbangsa	a n t a r b a ŋ s a
antarbenua	a n t a r b ə n u a
antardaerah	a n t a r d a e r a h
antari	a n t a r i
antariksa	a n t a r i ʔ s a
antariksawan	a n t a r i ʔ s a w a n
antariksawati	a n t a r i ʔ s a w a t i
antarkelompok	a n t a r k ə l o m p o ʔ
antarmaster	a n t a r m a s t ə r
antarmolekul	a n t a r m o l ə k u l
antarmuka	a n t a r m u k a
antarnegara	a n t a r n ə ɡ a r a
antarpribadi	a n t a r p r i b a d i
antarpulau	a n t a r p u l a u
antarras	a n t a r r a s
antarruang	a n t a r r u a ŋ
antarsel	a n t a r s e l
antarsuku	a n t a r s u k u
antartika	a n t a r t i k a
antarwilayah	a n t a r w i l a j a h
antasid	a n t a s i d
antawacana	a n t a w a tʃ a n a
antek	a n t e ʔ
anteken	a n t e k ə n
antelas	a n t ə l a s
antelop	a n t ə l o p
antem	a n t ə m
antena	a n t e n a
anteng	a n t ə ŋ
antep	a n t ə p
anter	a n t ə r
antero	a n t e r o
anteseden	a n t e s e d ə n
anti	a n t i
anti-beku	a n t i - b ə k u
anti-karat	a n t i - k a r a t
antibeku	a n t i b ə k u
antibiosis	a n t i b i o s i s
antibiotik	a n t i b i o t i ʔ
antibodi	a n t i b o d i
antidepresan	a n t i d e p r e s a n
antidioksida	a n t i d i o ʔ s i d a
antienzim	a n t i e n z i m
antigen	a n t i ɡ e n
antih	a n t i h
antihistamin	a n t i h i s t a m i n
antijasad	a n t i dʒ a s a d
antik	a n t i ʔ
antikarat	a n t i k a r a t
antiklimaks	a n t i ʔ l i m a ʔ s
antiklin	a n t i ʔ l i n
antikristus	a n t i ʔ r i s t u s
antimuntah	a n t i m u n t a h
anting	a n t i ŋ
antipati	a n t i p a t i
antipenawar	a n t i p ə n a w a r
antipiretik	a n t i p i r e t i ʔ
antipode	a n t i p o d ə
antisepsis	a n t i s e p s i s
antiseptik	a n t i s e p t i ʔ
antisipasi	a n t i s i p a s i
antisipatif	a n t i s i p a t i f
antisosial	a n t i s o s i a l
antitank	a n t i t a n ʔ
